SMILES,SMILES_state,NLL
Cc1cc(C)cc(OCC(=O)Nc2ccc(S(=O)(=O)NC(C)C)cc2)c1,1,24.23
Cc1ccc2nnc(C=Cc3ccccc3)n2c1,1,20.75
CC(C)(C)NC(=S)Nc1ccc(C(=O)Nc2cc(C(=O)O)cc(C(=O)O)c2)cc1,1,29.51
CC(C)(CO)NCc1ccc(OCc2ccc3c(c2)OCO3)cc1,1,23.81
COc1ccc(C(=O)OCc2ccc(C(=O)OCc3ccc(C(=O)OCc4ccccc4)cc3)o2)cc1,1,35.1
N#Cc1cc(-c2nc(-c3cc(O)ccc3O)n[nH]2)c(F)cc1Cl,1,32.95
COC(=O)Cn1ccc2cc(NC(=O)c3ccc(F)cc3)ccc21,1,26.44
Oc1c(C(CSc2ccccc2)c2cccnc2)ccc2c1OCC2,1,31.95
CCSCc1oc(O)c2c1Nc1coc(O)c1C2c1ccc(-c2ccc(-c3cccc([N+](=O)[O-])c3)cc2)cc1,1,39.13
CN1CC(O)C(C2(CCc3ccccc3)C(=O)Nc3ccc(Cl)cc32)C1,1,33.09
CC(=O)Nc1ccc2c(c1)C(=O)N(c1ccc(C)cc1)C2=O,1,21.6
CC1C(NC(=O)OCCCCC2CCCCC2)C(=O)N1OCCN1CCCC1,1,28.43
COC(C(=O)NN=Cc1c(C)nn(-c2ccccc2)c1Cl)c1ccccc1,1,22.61
CC(=O)C[n+]1cc(-c2ccc(Cl)cc2)n2c1CCC2,1,25.63
O=c1[nH]sc2c1c(=O)c1cc(-c3ccc(C4CCNCC4)cc3)c(F)cc1n2C1CC1,1,24.3
CN1C2CCC1CC(OC(c1ccccc1)c1cccc(CO)c1)C2,1,25.61
O=C(NC(=S)NCCCN1CCC(C(=O)c2ccc(F)cc2)CC1)c1ccc(Cl)cc1,1,26.86
CCCc1c(CC)c(C(=O)N(C)c2ccccc2)nn1-c1ccccc1C(=O)N1CCC(C(=O)OCC)CC1,1,28.96
COc1cc(-c2cc(F)cc(F)c2)cc2c1CN(Cc1cccnc1)CCO2,1,25.72
O=C(CCN1C(=O)CC2(CCCC2)CC1=O)Nc1ccc(F)cc1F,1,25.02
CCOC(=O)c1cnccc1N1CCC(C(=O)NCCSc2nnnn2C)CC1,1,32.7
O=C1CCC2(CCN(CCOc3ccc(F)cc3)C2)CN1,1,25.18
Cc1cc(=O)oc2c3c(ccc12)OC(CNCCCCNCCCN=c1cc[nH]c2cc(Cl)ccc12)C3,1,34.51
Cc1cc(=NC(=O)COc2ccc(C(C)(C)C)cc2)n(-c2cnn(Cc3c(C)noc3C)c2)[nH]1,1,30.04
Cn1cc(CN2CCN(C(=O)C3CC3)C3CS(=O)(=O)CC32)cn1,1,25.04
CSc1nn(-c2ccccc2)c2ccc(CN3CCN(C=O)CC3)cc12,1,26.67
Cc1ccc(Cl)c(Cn2nc(C(F)(F)F)c(C(=O)CCN3C(=O)c4ccccc4C3=O)c2C)c1,1,35.46
Cc1ccc2c(N3CCCC(NC(=O)C4CC4)C3)cccc2n1,1,26.89
Nc1cccc(CS(=O)(=O)N2CCCCC2)c1,1,22.97
COc1cccc2c(=O)c(C(=O)Nc3ccccc3)c(O)oc12,1,25.86
CC(C)c1c[nH]c(=NC(=O)N2CCN(C(=O)C3(N(C)C)CC3)CC2)s1,1,28.3
COc1ccc(N(C)S(=O)(=O)c2cccc(NC(=O)CN3CCN(Cc4ccccc4)CC3)c2)cc1,1,26.77
CC(=O)OC1(C(=O)O)OC(C(C)O)C2OCCCC21,1,37.77
CC(C)CN(CC(O)C(C(C)C)N(CO)C(=O)OCC(CNC(=O)C=Cc1ccccc1)Cc1ccccc1)S(=O)(=O)c1ccc2ncsc2c1,1,46.69
COC(=O)c1c[nH]c(=Nc2cc(Cl)ccc2OC)cn1,1,26.9
c1ccc(COC2CCOC3CC(OC4CCOC4)OC23)cc1,1,37.23
COc1ccc(OC)c(N=C(N)Nc2cccc(F)c2)c1,1,24.25
N=C(N)c1ccc(-c2cc(-c3ccc([N+](=O)[O-])nc3)on2)cc1,1,28.92
CN(C)C(=O)c1nn(C2CCN(C(=O)NC(C)(C)C)CC2)c2ncccc12,1,31.49
Cc1ccc(C(=O)N2CCC3(CC2)N=C(N)C(=O)N3Cc2ccccc2)cc1C,1,32.61
CCCCC(CN1CCCC12C=CC1(OC)C3CCC14c1c(ccc(O)c1O3)CC24)[N+](C)(CCCC)CCCC,1,55.02
CCN(CC)c1nnc(N2CCN(c3cc4c(c(N)c3F)c(=O)c3cc([N+](=O)[O-])c(OC)cc3n4C)CC2)s1,1,40.12
CCC(C)C(CC)NC(=O)CC(CC(O)NCCc1cccc(O)c1)C(=O)O,1,43.24
CCOc1cc(CNCc2ccccc2)cc(Cl)c1OC,1,20.89
Cc1nc(C(F)(F)F)ccc1C(=O)N1CCC1(C)C(=O)N(C)Cc1ccc(C(F)(F)F)cc1,1,27.41
O=C(NNc1ccccc1)c1ccccc1,1,18.1
Clc1ccc(CN2CCN(c3ncnc4c3nc3n4CCCCC3)CC2)cc1,1,21.02
CN(C(=O)Cn1c(-c2ccc(Cl)cc2)c(C2CCCCC2)c2cc(C(=O)NC(CCC(=O)O)C(=O)O)ccc21)C1CC1,1,36.05
CCn1ncnc1C1=NCCc2cc(OC)ccc21,1,28.78
