Unnamed: 0,SMILES,best_score
,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CCCCC1,-10.8
,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CCCCC1,-10.8
,C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](OC(C)=O)[C@@H](N6CCCCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(=O)CC)CCCCC1,-10.1
,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1,-11.5
,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H](N3CC[N+](C)(C)CC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CC[N+](C)(C)CC1,-9.3
,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H](N3CC[N+](C)(C)CC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CC[N+](C)(C)CC1,-9.3
,C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](OC(C)=O)[C@@H](N6CCCCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(=O)CC)CCCCC1,-10.1
,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1,-11.5
,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@]4(C)[C@@H](O)[C@@H]([N+]5(C)CCCCC5)C[C@@H]34)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1,-12.2
,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H](N3CC[N+](C)(C)CC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CC[N+](C)(C)CC1,-9.3
,CCCC(=O)O[C@@H]1[C@@H]([N+]2(C)CCCCC2)C[C@H]2[C@@H]3CC[C@H]4C[C@H](OC(C)=O)[C@@H](N5CCCCC5)C[C@]4(C)[C@H]3CC[C@]12C,-11.2
,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@]4(C)[C@@H](O)[C@@H]([N+]5(C)CCCCC5)C[C@@H]34)[C@@]2(C)C[C@@H]1N1CCCCC1,-11.3
,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H](N3CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CCCCC1,-10
,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@]4(C)[C@@H](O)[C@@H]([N+]5(C)CCCCC5)C[C@@H]34)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1,-12.2
,CC(=O)OC1C([N+]2(C)CCCCC2)C[C@H]2C3CC[C@H]4C[C@H](OC(C)=O)C([N+]5(C)CCCCC5)CC4(C)[C@H]3CCC12C,-10.3
,CC(=O)O[C@H]1[C@@H]([N+]2(C)CCCCC2)CC2C3CC[C@H]4C[C@H](O)[C@@H](N5CCOCC5)C[C@]4(C)C3CC[C@@]21C,-9.4
,CC(=O)O[C@H]1[C@@H]([N+]2(C)CCCCC2)C[C@H]2[C@@H]3CC[C@H]4C[C@H](O)[C@@H](N5CCCCC5)C[C@]4(C)[C@H]3CC[C@@]21C,-11.6
,CC(C)(C)C(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H](N3CCCCC3)[C@@H]4OC(=O)C(C)(C)C)[C@@]2(C)C[C@@H]1N1CCCCC1,-9.9
,CC(=O)O[C@H]1[C@@H]([N+]2(C)CCCCC2)C[C@H]2[C@@H]3CC[C@H]4C[C@H](O)[C@@H](N5CCCCC5)C[C@]4(C)[C@H]3CC[C@@]21C,-11.6
,CC(=O)O[C@H]1C[C@@H]2CCC3C4CC([N+]5(C)CCCCC5)C(O)[C@@]4(C)CCC3[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1,-12.2
,C=CC[N+]1([C@H]2CC3C4CC[C@H]5C[C@H](OC(C)=O)[C@@H](N6CCCCC6)C[C@]5(C)C4CC[C@]3(C)[C@H]2OC(=O)CCC)CCCCC1,-7.8
,CCCC(=O)O[C@H]1[C@@H]([N+]2(C)CCCCCC2)CC2C3CC[C@H]4C[C@H](OC(C)=O)[C@@H](N5CCCCC5)C[C@]4(C)C3CC[C@@]21C,-6.3
,CC(=O)O[C@H]1[C@@H]([N+]2(C)CCCCC2)CC2C3CC[C@H]4CC[C@@H](N5CCCCC5)C[C@]4(C)C3CC[C@@]21C,-10.6
,CC(=O)O[C@H]1C[C@@H]2CC[C@H]3[C@@H]4C[C@H]([N+]5(C)CCCCC5)C[C@@]4(C)CC[C@@H]3[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1,-12.5
,CC(=O)O[C@H]1[C@@H]([N+]2(C)CCCCC2)C[C@H]2[C@@H]3CC[C@H]4CC[C@@H]([N+]5(C)CCCCC5)C[C@]4(C)[C@H]3CC[C@@]21C,-12.6
,CCN(CC)Cc1ccc2c(c1)-c1cc(CN(CC)CC)ccc1C21c2ccccc2-c2ccccc21,-5.7
,CC[PH3+].C[N+](C)(CCCCCC[N+](C)(Cc1cc(F)c(F)c(F)c1F)C1c2ccccc2-c2ccccc21)C1c2ccccc2-c2ccccc21,Incorrect number of molecular fragments (2)
,CCCCCCCCCCCC[N+](C)(C)C1c2ccccc2-c2ccccc21,-9.3
,C(CN(CC=C(c1ccccc1)c1ccccc1)[C@@H]1CCc2ccccc21)=C(c1ccccc1)c1ccccc1,-12.3
,Cc1ccccc1CCN(CCCCCc1ccccc1)C(CCCCN(C)CCCc1ccccc1)c1ccccc1,-10.3
,c1ccc2c(c1)-c1ccccc1C2NC1c2ccccc2-c2ccccc21,-12.5
,c1ccc2c(c1)-c1ccccc1C2N(C1c2ccccc2-c2ccccc21)C1c2ccccc2-c2ccccc21,-11.5
,c1ccc(CCN(C2c3ccccc3-c3ccccc32)C2c3ccccc3-c3ccccc32)cc1,-14
,CCCCN(C1C(C)=C(C)C(C)=C1C)C1c2ccccc2-c2ccccc21,-11.5
,c1ccc2c(c1)-c1ccccc1C2[N+]12CC[N+](C3c4ccccc4-c4ccccc43)(CC1)CC2,-10.4
,CC(NC1c2ccccc2-c2ccccc21)c1ccc(CNC2c3ccccc3-c3ccccc32)cc1,-14.5
,c1ccc(CN(Cc2ccccc2)C2c3ccccc3-c3ccccc32)cc1,-11.9
,CN(Cc1ccccc1)C1c2ccccc2-c2ccccc21,-10.7
,C[N+](C)(CCCCCC[N+](C)(C)C1c2ccccc2-c2ccccc21)C1c2ccccc2-c2ccccc21,-13.1
,C[N+](C)(Cc1ccccc1)C1c2ccccc2-c2ccccc21,-11.4
,CN(C)C1(C2c3ccccc3-c3ccccc32)c2ccccc2-c2ccccc21,-11.8
,Cc1ccccc1CN1CCN(C2c3ccccc3-c3ccccc32)CC1,-11.3
,C[N+](C)(CCCCCC[N+](C)(Cc1cc(F)c(F)c(F)c1F)C1c2ccccc2-c2ccccc21)C1c2ccccc2-c2ccccc21,-14.4
,CC[N+](CC)(CCCCCCCCCC[N+](CC)(CC)C1c2ccccc2-c2ccccc21)C1c2ccccc2-c2ccccc21,-11.1
